Date,Highest Impact,Title,Display Authors,Area,Additional Metadata,Conference or Journal,Workshop,Superlative,Paper Link,Project Link,All Authors,EAI Affils
"Oct 7, 2024",,Eliciting Latent Knowledge from Quirky Language Models,Mallen and Belrose,"Model Internals, Behavioral Safety",,COLM,ICLR 2024 Workshop on Mathematical and Empirical Understanding of Foundation Models,,https://arxiv.org/abs/2312.01037,,Alex Mallen; Madeline Brumley; Julia Kharchenko; Nora Belrose,Alex Mallen; Nora Belrose
"Oct 15, 2024",,From Decoding to Meta-Generation: Inference-time Algorithms for Large Language Models,"Welleck, Bertsch, Finlayson, Schoelkopf, Xie, Neubig, Kulikov, and Harchaoui",Misc.,,TMLR,,,https://arxiv.org/abs/2406.16838,,Sean Welleck; Amanda Bertsch; Matthew Finlayson; Hailey Schoelkopf; Alex Xie; Graham Neubig; Ilia Kulikov; Zaid Harchaoui,Hailey Schoelkopf
"Oct 22, 2024",,Balancing Label Quantity and Quality for Scalable Elicitation,Mallen and Belrose,"Model Internals, Behavioral Safety",,,,,https://arxiv.org/abs/2410.13215,,Alex Mallen; Nora Belrose,Alex Mallen; Nora Belrose
"Oct 30, 2024",,Lina-Speech: Gated Linear Attention is a Fast and Parameter-Efficient Learner for text-to-speech synthesis,"Lemerle, Vanderbyl, Srivastav, Obin, and Roebel","Training Models, Multimodal",,,,,https://arxiv.org/abs/2410.23320,,Théodor Lemerle; Téo Guichoux; Axel Roebel; Nicolas Obin,Théodor Lemerle; Téo Guichoux; Axel Roebel; Nicolas Obin
"Nov 12, 2024",,Re-Evaluating Evaluation for Multilingual Summarization,"Forde, Zhang, Sutawika, Aji, Cahyawijaya, Winata, Wu, Eickhoff, Biderman, and Pavlick","Evaluation, Multilingual",,EMNLP,,,https://aclanthology.org/2024.emnlp-main.1085.pdf,,Jessica Zosa Forde; Ruochen Zhang; Lintang Sutawika; Alham Fikri Aji; Samuel Cahyawijaya; Genta Indra Winata; Minghao Wu; Carsten Eickhoff; Stella Biderman; Ellie Pavlick,Lintang Sutawika; Stella Biderman
"Nov 13, 2024",,Refusal in LLMs is an Affine Function,"Marshall, Scherlis, and Belrose","Model Internals, Behavioral Safety",,,,,https://arxiv.org/abs/2411.09003,,Thomas Marshall; Adam Scherlis; Nora Belrose,Thomas Marshall; Adam Scherlis; Nora Belrose
"Nov 15, 2024",,Linear Representations of Sentiment in Large Language Models,"Tigges, Hollinsworth, Geiger, and Nanda",Model Internals,,BlackBox NLP,,,https://arxiv.org/abs/2310.15154,,Curt Tigges; Oskar John Hollinsworth; Atticus Geiger; Neel Nanda,Curt Tigges; Neel Nanda
"Nov 28, 2024",,Language Model Crossover: Variation through Few-Shot Prompting,"Meyerson, Nelson, Bradley, Gaier, Moradi, Hoover, and Lehman",Misc.,,ACM Transactions on Evolutionary Learning and Optimization,,,https://arxiv.org/abs/2302.12170,,Elliot Meyerson; Mark J. Nelson; Herbie Bradley; Adam Gaier; Arash Moradi; Amy K. Hoover; Joel Lehman,Herbie Bradley
"Dec 1, 2024",,Documenting Geographically and Contextually Diverse Data Sources: The BigScience Catalogue of Language Data and Resources,"McMillan-Major, Alyafeai, Biderman, Chen, De Toni, and 13 others","Data, Multilingual",,Northern European Journal of Language Technology,,,https://arxiv.org/abs/2201.10066,,Angelina McMillan-Major; Zaid Alyafeai; Stella Biderman; Kimbo Chen; Francesco De Toni; Gérard Dupont; Hady Elsahar; Chris Emezue; Alham Fikri Aji; Suzana Ilić; Nurulaqilla Khamis; Colin Leong; Maraim Masoud; Aitor Soroa; Pedro Ortiz Suarez; Zeerak Talat; Daniel van Strien; Yacine Jernite,Stella Biderman
"Dec 4, 2024",,"Surveying the Effects of Quality, Diversity, and Complexity in Synthetic Data From Large Language Models","Havrilla, Dai, O'Mahony, Oostermeijer, and Zisler, and 15 others","Training Models, Data",,,,,https://arxiv.org/abs/2412.02980,,Alex Havrilla; Andrew Dai; Laura O'Mahony; Koen Oostermeijer; Vera Zisler; Alon Albalak; Fabrizio Milo; Sharath Chandra Raparthy; Kanishk Gandhi; Baber Abbasi; Duy Phung; Maia Iyer; Dakota Mahan; Chase Blagden; Srishti Gureja; Mohammed Hamdy; Wen-Ding Li; Giovanni Paolini; Pawan Sasanka Ammanamanchi; Elliot Meyerson,Baber Abbasi
"Dec 7, 2024",,The Foundation Model Development Cheatsheet: A Review of Responsible AI Tools & Resources,"Longpre, Biderman, Albalak, Schoelkopf, McDuff, and 18 others","Evaluation, Behavioral Safety, AI Governance & Societal Impacts",,TMLR,,,https://arxiv.org/abs/2406.16746,,Shayne Longpre; Stella Biderman; Alon Albalak; Hailey Schoelkopf; Daniel McDuff; Sayash Kapoor; Kevin Klyman; Kyle Lo; Gabriel Ilharco; Nay San; Maribeth Rauh; Aviya Skowron; Bertie Vidgen; Laura Weidinger; Arvind Narayanan; Victor Sanh; David Adelani; Percy Liang; Rishi Bommasani; Peter Henderson; Sasha Luccioni; Yacine Jernite; Luca Soldaini,Stella Biderman; Hailey Schoelkopf; Aviya Skowron
"Dec 9, 2024",,Understanding Gradient Descent through the Training Jacobian,Belrose and Scherlis,"Learning Dynamics, Model Internals",,,,,https://arxiv.org/abs/2412.07003,,Nora Belrose; Adam Scherlis,Nora Belrose; Adam Scherlis
"Dec 10, 2024",TRUE,LLM Circuit Analyses Are Consistent Across Training and Scale,"Tigges, Hanna, Yu, and Biderman","Learning Dynamics, Model Internals",,NeurIPS,,,https://arxiv.org/abs/2407.10827,,Curt Tigges; Michael Hanna; Qinan Yu; Stella Biderman,Curt Tigges; Stella Biderman
"Dec 10, 2024",TRUE,Consent in crisis: The rapid decline of the AI data commons,"Longpre, Mahari, Lee, Lund, Oderinwale, and 44 others","Data, AI Governance & Societal Impacts",,NeurIPS Datasets and Benchmarks,,,https://arxiv.org/abs/2407.14933,,Shayne Longpre; Robert Mahari; Ariel Lee; Campbell Lund; Hamidah Oderinwale; William Brannon; Nayan Saxena; Naana Obeng-Marnu; Tobin South; Cole Hunter; Kevin Klyman; Christopher Klamm; Hailey Schoelkopf; Nikhil Singh; Manuel Cherep; Ahmad Anis; An Dinh; Caroline Chitongo; Da Yin; Damien Sileo; Deividas Mataciunas; Diganta Misra; Emad Alghamdi; Enrico Shippole; Jianguo Zhang; Joanna Materzynska; Kun Qian; Kush Tiwary; Lester Miranda; Manan Dey; Minnie Liang; Mohammed Hamdy; Niklas Muennighoff; Seonghyeon Ye; Seungone Kim; Shrestha Mohanty; Vipul Gupta; Vivek Sharma; Vu Minh Chien; Xuhui Zhou; Yizhi Li; Caiming Xiong; Luis Villa; Stella Biderman; Hanlin Li; Daphne Ippolito; Sara Hooker; Jad Kabbara; Sandy Pentland,Hailey Schoelkopf; Stella Biderman
"Dec 10, 2024",TRUE,RedPajama: an Open Dataset for Training Large Language Models,"Weber, Fu, Anthony, Oren, and Adams, and 14 others","Data, Training Models",,NeurIPS Datasets and Benchmarks,,,https://arxiv.org/abs/2411.12372,,Maurice Weber; Daniel Fu; Quentin Anthony; Yonatan Oren; Shane Adams; Anton Alexandrov; Xiaozhong Lyu; Huu Nguyen; Xiaozhe Yao; Virginia Adams; Ben Athiwaratkun; Rahul Chalamala; Kezhen Chen; Max Ryabinin; Tri Dao; Percy Liang; Christopher Ré; Irina Rish; Ce Zhang,Quentin Anthony
"Dec 10, 2024",,A Walsh Hadamard Derived Linear Vector Symbolic Architecture,"Alam, Oberle, Raff, Biderman, Oates, and Holt","Training Models, Security",,NeurIPS,,,https://arxiv.org/abs/2410.22669,,Mohammad Mahmudul Alam; Alexander Oberle; Edward Raff; Stella Biderman; Tim Oates; James Holt,Stella Biderman
"Jan 14, 2025",,Towards Best Practices for Open Datasets for LLM Training,"Baack, Biderman, Odrozek, Skowron, Bdeir, and 34 others","Data, AI Governance & Societal Impacts",,,,,https://arxiv.org/abs/2501.08365,,Stefan Baack; Stella Biderman; Kasia Odrozek; Aviya Skowron; Ayah Bdeir; Jillian Bommarito; Jennifer Ding; Maximilian Gahntz; Paul Keller; Pierre-Carl Langlais; Greg Lindahl; Sebastian Majstorovic; Nik Marda; Guilherme Penedo; Maarten Van Segbroeck; Jennifer Wang; Leandro von Werra; Mitchell Baker; Julie Belião; Kasia Chmielinski; Marzieh Fadaee; Lisa Gutermuth; Hynek Kydlíček; Greg Leppert; EM Lewis-Jong; Solana Larsen; Shayne Longpre; Angela Oduor Lungati; Cullen Miller; Victor Miller; Max Ryabinin; Kathleen Siminyu; Andrew Strait; Mark Surman; Anna Tumadóttir; Maurice Weber; Rebecca Weiss; Lee White; Thomas Wolf,Stella Biderman; Aviya Skowron; Sebastian Majstorovic
"Jan 16, 2025",,Robin: a Suite of Multi-Scale Vision-Language Models and the CHIRP Evaluation Benchmark,"Roger, Humane, Kaplan, Gupta, Sun, Adamopoulos, Lim, Anthony, Fennell, and Rish","Training Models, Data, Evaluation, Multimodal",,,,,https://arxiv.org/abs/2501.09672,,Alexis Roger; Prateek Humane; Daniel Z. Kaplan; Kshitij Gupta; Qi Sun; George Adamopoulos; Jonathan Siu Chi Lim; Quentin Anthony; Edwin Fennell; Irina Rish,Quentin Anthony
